seq0_leftend,seq0_rightend,seq1_leftend,seq1_rightend,seq2_leftend,seq2_rightend,seq3_leftend,seq3_rightend,seq4_leftend,seq4_rightend
-21558880,-21559745,0,0,4400979,4401837,0,0,0,0
-21559779,-21560483,0,0,4400262,4400974,0,0,0,0
-1397262,-1397299,20002756,20002793,0,0,0,0,0,0
-21560490,-21561379,0,0,4399310,4400210,0,0,0,0
-21561404,-21568313,0,0,4392418,4399305,0,0,0,0
-21568315,-21570599,0,0,4390155,4392417,0,0,0,0
-793530,-793605,0,0,0,0,-2058619,-2058698,0,0
-21571008,-21571913,0,0,4388816,4389746,0,0,0,0
-21571915,-21575749,0,0,4384936,4388815,0,0,0,0
-21575915,-21575918,0,0,4384768,4384770,0,0,0,0
-21576153,-21576164,0,0,4384517,4384542,0,0,0,0
-21576257,-21580925,0,0,4379760,4384423,0,0,0,0
-21583214,-21584105,0,0,4378871,4379755,0,0,0,0
-21584110,-21584292,0,0,4378450,4378629,0,0,0,0
-21586068,-21586215,0,0,4364668,4364815,0,0,0,0
-21594054,-21595761,0,0,4353713,4355419,0,0,0,0
-21599267,-21599532,0,0,4349956,4350212,0,0,0,0
-21603223,-21603968,0,0,4345994,4346751,0,0,0,0
-21604018,-21609333,0,0,4340652,4345986,0,0,0,0
-21609337,-21613043,0,0,4336882,4340596,0,0,0,0
-21613082,-21613503,0,0,4336456,4336877,0,0,0,0
-21613532,-21613682,0,0,4336302,4336452,0,0,0,0
-21613761,-21613957,0,0,4336102,4336298,0,0,0,0
-21614036,-21614129,0,0,4336005,4336098,0,0,0,0
-21614158,-21620168,0,0,4329998,4336001,0,0,0,0
-21620173,-21625808,0,0,4324352,4329970,0,0,0,0
-21625812,-21626079,0,0,4324048,4324315,0,0,0,0
-21626082,-21637042,0,0,4313044,4324026,0,0,0,0
-21637064,-21638581,0,0,4311510,4313041,0,0,0,0
-21638644,-21642567,0,0,4307580,4311505,0,0,0,0
-21642572,-21643971,0,0,4306136,4307539,0,0,0,0
-21643991,-21647523,0,0,4302601,4306134,0,0,0,0
-21647552,-21653299,0,0,4296858,4302596,0,0,0,0
-21653332,-21656195,0,0,4294012,4296853,0,0,0,0
-21656276,-21660976,0,0,4289289,4294007,0,0,0,0
-1397434,-1398011,20002174,20002751,0,0,0,0,0,0
-21661030,-21670786,0,0,4279525,4289284,0,0,0,0
-21670790,-21675408,0,0,4274885,4279493,0,0,0,0
-21675443,-21676918,0,0,4273409,4274880,0,0,0,0
-21676952,-21678165,0,0,4272199,4273405,0,0,0,0
-21678170,-21681908,0,0,4268416,4272158,0,0,0,0
-21681929,-21686125,0,0,4264219,4268413,0,0,0,0
-21686129,-21696587,0,0,4253731,4264193,0,0,0,0
-1398041,-1398264,20001946,20002169,0,0,0,0,0,0
-21696614,-21696909,0,0,4253443,4253726,0,0,0,0
-21696911,-21701551,0,0,4248758,4253423,0,0,0,0
-21701579,-21708736,0,0,4241565,4248754,0,0,0,0
-21708739,-21722851,0,0,4227429,4241544,0,0,0,0
-1398301,-1398489,20001777,20001941,0,0,0,0,0,0
-21722916,-21725766,0,0,4224517,4227374,0,0,0,0
-21725847,-21729264,0,0,4221134,4224512,0,0,0,0
-21729268,-21733913,0,0,4216464,4221103,0,0,0,0
-21733937,-21736643,0,0,4213758,4216460,0,0,0,0
-21736885,-21737526,0,0,4213112,4213753,0,0,0,0
-21737531,-21742623,0,0,4207988,4213082,0,0,0,0
-1398530,-1398842,20001466,20001772,0,0,0,0,0,0
-21742627,-21753542,0,0,4196955,4207874,0,0,0,0
-1398925,-1399912,20000457,20001461,0,0,0,0,0,0
-21753547,-21754294,0,0,4196170,4196918,0,0,0,0
-21754297,-21758834,0,0,4191605,4196149,0,0,0,0
-21758839,-21761689,0,0,4188699,4191552,0,0,0,0
-1399932,-1400057,20000330,20000455,0,0,0,0,0,0
0,0,4477108,4477149,4188360,4188401,0,0,0,0
25977395,25977571,4476707,4477107,4188182,4188359,0,0,0,0
-1400088,-1400702,19999712,20000325,0,0,0,0,0,0
25977394,25977394,0,0,4188181,4188181,0,0,0,0
25977321,25977393,4475310,4476706,4188108,4188180,0,0,0,0
25977320,25977320,0,0,4188107,4188107,0,0,0,0
-1400726,-1402687,19997755,19999708,0,0,0,0,0,0
25976384,25977319,4474372,4475309,4187046,4188106,0,0,0,0
25975712,25975722,4474249,4474259,4186932,4186942,0,0,0,0
25975524,25975578,4474061,4474115,4186744,4186798,0,0,0,0
-1403280,-1404326,19996707,19997750,0,0,0,0,0,0
25975517,25975517,4474054,4474054,4186251,4186251,0,0,0,0
0,0,4473772,4473779,4185945,4185951,0,0,0,0
-1404352,-1404562,19996498,19996702,0,0,0,0,0,0
0,0,4473325,4473469,4185506,4185637,0,0,0,0
-11927685,-11927720,9490079,9490114,0,0,-2007330,-2007365,0,0
-11846275,-11846643,9571251,9571619,0,0,-2005078,-2005441,0,0
0,0,4471931,4472006,4182926,4183001,0,0,0,0
-742276,-742597,0,0,0,0,1988860,1989181,0,0
0,0,4471723,4471776,4182834,4182886,0,0,0,0
0,0,4471325,4471662,4182499,4182819,0,0,0,0
0,0,4471153,4471198,4182446,4182490,0,0,0,0
-1404628,-1404956,19996095,19996432,0,0,0,0,0,0
-744440,-744583,0,0,0,0,1988037,1988180,0,0
0,0,4470850,4471144,4182088,4182394,0,0,0,0
0,0,4470611,4470846,4181788,4182020,0,0,0,0
25972637,25973135,4470120,4470606,4181098,4181596,0,0,0,0
25972375,25972613,4469859,4470097,4176879,4177120,0,0,0,0
25971966,25972348,4469452,4469832,4176504,4176874,0,0,0,0
0,0,4469415,4469451,4176467,4176503,0,0,0,0
25970592,25971961,4468031,4469414,4175066,4176466,0,0,0,0
-747585,-757369,0,0,0,0,1974262,1974831,0,0
-23017025,-23017063,0,0,2919617,2919655,1971878,1971916,0,0
-23017147,-23017234,0,0,2919446,2919533,1971750,1971838,0,0
25969804,25969806,0,0,4174291,4174293,0,0,0,0
24147238,24147289,0,0,-1784642,-1784693,-1915138,-1915189,0,0
24147355,24147532,0,0,-1784399,-1784576,-1914940,-1915116,0,0
24147610,24147822,0,0,-1784109,-1784321,-1913668,-1913887,0,0
-21764911,-21765097,0,0,4173158,4173341,0,0,0,0
-21765139,-21765198,0,0,4173057,4173116,0,0,0,0
-1404960,-1405035,19995986,19996061,0,0,0,0,0,0
0,0,4467036,4467109,4172754,4172827,0,0,0,0
-21765576,-21765721,0,0,4172532,4172677,0,0,0,0
-1405040,-1405095,19995851,19995906,0,0,0,0,0,0
-21765891,-21766058,0,0,4172196,4172363,0,0,0,0
-21766063,-21766895,0,0,4171337,4172169,0,0,0,0
-21766900,-21767071,0,0,4171121,4171292,0,0,0,0
-1405100,-1405134,19995779,19995813,0,0,0,0,0,0
-21767092,-21767348,0,0,4170862,4171118,0,0,0,0
-21767377,-21775704,0,0,4162526,4170857,0,0,0,0
-1405139,-1405326,19995530,19995717,0,0,0,0,0,0
-1405367,-1405471,19995427,19995525,0,0,0,0,0,0
-21775711,-21777400,0,0,4160804,4162494,0,0,0,0
-1405506,-1405551,19995377,19995422,0,0,0,0,0,0
-1405610,-1406200,19994830,19995372,0,0,0,0,0,0
-21777455,-21790709,0,0,4147533,4160799,0,0,0,0
-1406221,-1407650,19993456,19994827,0,0,0,0,0,0
-21790715,-21792739,0,0,4145476,4147506,0,0,0,0
-21792983,-21793973,0,0,4144481,4145471,0,0,0,0
-21794000,-21794211,0,0,4144265,4144476,0,0,0,0
-21794216,-21794861,0,0,4143449,4144094,0,0,0,0
-21794968,-21795103,0,0,4143309,4143444,0,0,0,0
-21795154,-21798831,0,0,4139608,4143304,0,0,0,0
-21798872,-21799017,0,0,4139457,4139602,0,0,0,0
-10515066,-10515170,10950459,10950563,0,0,-1912892,-1912996,0,0
-21799184,-21803211,0,0,4135442,4139453,0,0,0,0
-21803260,-21803309,0,0,4134493,4134542,0,0,0,0
-21803314,-21803854,0,0,4133737,4134277,0,0,0,0
-21803859,-21807395,0,0,4130046,4133598,0,0,0,0
-21807401,-21809446,0,0,4127952,4129999,0,0,0,0
-21809479,-21815822,0,0,4121606,4127947,0,0,0,0
-10514234,-10514396,10951233,10951395,0,0,-1911057,-1911219,0,0
-21815863,-21820585,0,0,4116888,4121601,0,0,0,0
-21820603,-21821586,0,0,4115601,4116595,0,0,0,0
-21821619,-21823090,0,0,4114117,4115596,0,0,0,0
-21823095,-21826066,0,0,4111089,4114086,0,0,0,0
-21826071,-21828822,0,0,4108268,4111022,0,0,0,0
-21828844,-21832481,0,0,4104641,4108265,0,0,0,0
-10511666,-10511767,10953840,10953941,0,0,-1908895,-1908996,0,0
-21832489,-21838878,0,0,4097985,4104358,0,0,0,0
-10510364,-10510474,10955132,10955242,0,0,-1907547,-1907660,0,0
-23276541,-23276729,0,0,2657478,2657666,1899688,1899876,0,0
-21839113,-21839196,0,0,4097657,4097741,0,0,0,0
0,0,0,0,2657454,2657477,1899659,1899687,0,0
-21839276,-21844550,0,0,4092318,4097577,0,0,0,0
-21844648,-21848532,0,0,4088408,4092306,0,0,0,0
0,0,0,0,2657446,2657449,1899578,1899580,0,0
-23276733,-23276874,0,0,2657304,2657445,1899428,1899577,0,0
-263328,-263498,0,0,0,0,1898289,1898458,0,0
-21848564,-21849350,0,0,4087615,4088403,0,0,0,0
-263691,-263894,0,0,0,0,1898078,1898277,0,0
-21860641,-21861036,0,0,4046072,4046467,0,0,0,0
-263899,-263990,0,0,0,0,1897911,1898001,0,0
-21864592,-21866319,0,0,4040839,4042563,0,0,0,0
-21866532,-21875108,0,0,4032217,4040832,0,0,0,0
-21875139,-21881045,0,0,4026283,4032212,0,0,0,0
-21881050,-21881312,0,0,4025994,4026257,0,0,0,0
-21882248,-21882843,0,0,4025396,4025990,0,0,0,0
-21882848,-21882885,0,0,4024926,4024963,0,0,0,0
-264139,-264594,0,0,0,0,1897226,1897684,0,0
-17316667,-17317026,4080208,4080558,0,0,1893031,1893401,0,0
-21882890,-21897671,0,0,4010055,4024856,0,0,0,0
-21897676,-21897833,0,0,4009863,4010020,0,0,0,0
-21897880,-21903303,0,0,4004435,4009859,0,0,0,0
-21903347,-21903488,0,0,4004289,4004430,0,0,0,0
-1407739,-1408949,19992240,19993451,0,0,0,0,0,0
-21903717,-21904596,0,0,4003181,4004060,0,0,0,0
-21904651,-21905190,0,0,4002636,4003176,0,0,0,0
-21905227,-21906303,0,0,4001555,4002631,0,0,0,0
24614500,24614562,0,0,0,0,-1890586,-1890645,0,0
-21906372,-21906587,0,0,4001323,4001550,0,0,0,0
-21906659,-21907231,0,0,4000750,4001318,0,0,0,0
-1692099,-1692295,19727097,19727293,0,0,1889183,1889394,0,0
-21907258,-21910109,0,0,3997908,4000745,0,0,0,0
-21910114,-21915399,0,0,3992600,3997871,0,0,0,0
-21915499,-21915722,0,0,3992343,3992571,0,0,0,0
-21915726,-21915892,0,0,3992144,3992311,0,0,0,0
-1409257,-1409616,19991876,19992235,0,0,0,0,0,0
-1693111,-1693268,19726126,19726283,0,0,1887897,1888046,0,0
-21921290,-21921872,0,0,3991558,3992140,0,0,0,0
-21921877,-21922989,0,0,3990419,3991531,0,0,0,0
-21923026,-21923986,0,0,3989318,3990266,0,0,0,0
-21923991,-21935531,0,0,3977679,3989233,0,0,0,0
-21935566,-21936943,0,0,3976302,3977674,0,0,0,0
-21936993,-21940938,0,0,3972354,3976296,0,0,0,0
-21988198,-21988366,0,0,3966465,3966633,0,0,0,0
-21993646,-21993775,0,0,3949190,3949319,0,0,0,0
-21994042,-21994491,0,0,3948474,3948923,0,0,0,0
-21996341,-21997679,0,0,3945286,3946624,0,0,0,0
-1409847,-1409972,19991746,19991871,0,0,0,0,0,0
-21998896,-22003697,0,0,3939264,3944069,0,0,0,0
-8827589,-8827773,12635730,12635914,0,0,-1885619,-1885810,0,0
-22003847,-22003847,0,0,3939114,3939114,0,0,0,0
-10111198,-10111310,11354315,11354427,0,0,-1869148,-1869260,0,0
-22003942,-22017255,0,0,3925749,3939019,0,0,0,0
25309636,25309790,0,0,-623951,-624105,1868962,1869120,0,0
-10110882,-10111041,11354584,11354743,0,0,-1868817,-1868957,0,0
24539419,24539452,0,0,-1377991,-1378024,1786882,1786915,0,0
-22017263,-22017515,0,0,3925286,3925538,0,0,0,0
-22017565,-22033876,0,0,3909004,3925282,0,0,0,0
-22033881,-22034010,0,0,3908834,3908978,0,0,0,0
-22034041,-22038402,0,0,3904409,3908771,0,0,0,0
-22038457,-22041026,0,0,3901821,3904404,0,0,0,0
-22041050,-22050525,0,0,3892325,3901817,0,0,0,0
-22050564,-22050652,0,0,3892232,3892320,0,0,0,0
-22050739,-22057265,0,0,3885732,3892227,0,0,0,0
-22057299,-22058199,0,0,3884819,3885727,0,0,0,0
-22058226,-22059538,0,0,3883499,3884814,0,0,0,0
-22059571,-22059744,0,0,3883321,3883494,0,0,0,0
-22059749,-22062324,0,0,3880693,3883272,0,0,0,0
-22062328,-22064189,0,0,3878315,3880176,0,0,0,0
-22064242,-22065110,0,0,3877447,3878310,0,0,0,0
-22065115,-22065570,0,0,3876960,3877414,0,0,0,0
-22068195,-22068605,0,0,3876265,3876677,0,0,0,0
-22068607,-22080150,0,0,3865139,3876264,0,0,0,0
-22080152,-22086851,0,0,3858477,3865138,0,0,0,0
-22086853,-22089146,0,0,3856153,3858476,0,0,0,0
-22713401,-22717359,0,0,3223414,3227389,-1744543,-1747027,0,0
-22089148,-22089304,0,0,3856058,3856152,0,0,0,0
-22089306,-22089734,0,0,3855664,3856057,0,0,0,0
-22089736,-22091613,0,0,3853778,3855663,0,0,0,0
-22091615,-22091907,0,0,3852600,3853777,0,0,0,0
-22091909,-22102916,0,0,3841917,3852599,0,0,0,0
-22102918,-22111679,0,0,3834934,3841916,0,0,0,0
-22111689,-22122177,0,0,3824366,3834862,0,0,0,0
-22122182,-22122976,0,0,3823527,3824321,0,0,0,0
-22593910,-22594004,0,0,3350334,3350428,-1744449,-1744541,0,0
-22593712,-22593808,0,0,3350554,3350650,-1744291,-1744387,0,0
25380796,25380891,0,0,-550854,-550949,1718608,1718703,0,0
-18125755,-18125815,3269026,3269086,0,0,-1703743,-1703803,0,0
-23075742,-23076004,0,0,2859472,2859740,1697920,1698196,0,0
-22122981,-22137701,0,0,3807760,3822484,0,0,0,0
-22137726,-22151994,0,0,3793474,3807757,0,0,0,0
-22152019,-22153212,0,0,3792259,3793469,0,0,0,0
-1329361,-1329419,0,0,0,0,-1637879,-1637937,0,0
-22153398,-22173997,0,0,3771476,3792073,0,0,0,0
-22174002,-22185974,0,0,3759475,3771442,0,0,0,0
25190886,25191048,0,0,-742632,-742793,1554554,1554719,0,0
-22190641,-22190676,0,0,3755144,3755179,0,0,0,0
25190865,25190880,0,0,-742799,-742814,1554501,1554516,0,0
-22190697,-22190829,0,0,3755009,3755141,0,0,0,0
-22190886,-22196727,0,0,3749168,3755002,0,0,0,0
-22196764,-22228726,0,0,3717226,3749160,0,0,0,0
-22228765,-22231840,0,0,3714149,3717221,0,0,0,0
-22231858,-22254107,0,0,3689915,3712129,0,0,0,0
-22254112,-22280985,0,0,3663017,3689890,0,0,0,0
-22281031,-22284643,0,0,3659400,3663012,0,0,0,0
-22284755,-22299986,0,0,3644150,3659395,0,0,0,0
25190543,25190566,0,0,-743114,-743136,1554201,1554224,0,0
25190275,25190348,0,0,-743331,-743404,1553715,1553789,0,0
-22300015,-22300225,0,0,3643935,3644145,0,0,0,0
-22300232,-22313683,0,0,3630327,3643750,0,0,0,0
-22313688,-22314018,0,0,3629953,3630302,0,0,0,0
-22314027,-22315974,0,0,3627977,3629927,0,0,0,0
-22315979,-22329117,0,0,3614732,3627863,0,0,0,0
-22329162,-22349133,0,0,3594762,3614726,0,0,0,0
-22349138,-22363195,0,0,3580694,3594733,0,0,0,0
-22363200,-22374004,0,0,3569899,3580660,0,0,0,0
-22374075,-22379588,0,0,3564385,3569895,0,0,0,0
-22379615,-22386507,0,0,3557488,3564380,0,0,0,0
-22386513,-22387910,0,0,3556057,3557438,0,0,0,0
25190007,25190272,0,0,-743407,-743672,1553456,1553712,0,0
-22387941,-22388038,0,0,3555955,3556052,0,0,0,0
-22388095,-22390558,0,0,3553489,3555950,0,0,0,0
-5500468,-5500550,15968853,15968935,0,0,-1546787,-1546858,0,0
-22390568,-22391460,0,0,3552227,3553119,0,0,0,0
-5360728,-5360751,16108954,16108977,0,0,-1546649,-1546672,0,0
0,0,16486007,16487509,3550646,3552146,0,0,0,0
-22516539,-22516672,0,0,3427705,3427838,1525301,1525437,0,0
-22516674,-22518265,0,0,3426114,3427704,1522489,1525300,0,0
-22391467,-22399599,0,0,3542480,3550616,0,0,0,0
-21089365,-21089507,271036,271181,0,0,1503098,1503228,0,0
-21089509,-21089554,270989,271035,0,0,1499109,1503097,0,0
-22399604,-22401380,0,0,3540675,3542445,0,0,0,0
-22401399,-22410127,0,0,3531715,3540437,0,0,0,0
-22410131,-22411867,0,0,3529928,3531664,0,0,0,0
-22411872,-22424308,0,0,3517439,3529899,0,0,0,0
-22424870,-22425248,0,0,3517060,3517434,0,0,0,0
-11786157,-11786457,9633408,9633708,0,0,1427153,1427477,0,0
-6460278,-6460465,15003545,15003732,0,0,-1417288,-1417474,0,0
25269187,25269274,0,0,-664359,-664446,-1393131,-1393216,0,0
-22425280,-22429407,0,0,3512687,3516835,0,0,0,0
-22431065,-22436167,0,0,3507589,3512678,0,0,0,0
25510696,25511236,0,0,-419268,-419808,1363252,1363806,0,0
-1817835,-1818246,19602028,19602439,0,0,1346055,1346466,0,0
-11110531,-11110537,10306761,10306767,0,0,1332575,1332581,0,0
-22436229,-22436695,0,0,3507132,3507584,0,0,0,0
-22436778,-22450543,0,0,3493352,3507127,0,0,0,0
-22450588,-22450671,0,0,3493264,3493347,0,0,0,0
-22450676,-22451014,0,0,3492651,3492989,0,0,0,0
-22451019,-22454832,0,0,3488784,3492594,0,0,0,0
-22454863,-22465636,0,0,3477975,3488779,0,0,0,0
-22466467,-22466854,0,0,3476754,3477144,0,0,0,0
-22467290,-22473501,0,0,3470079,3476317,0,0,0,0
-22473505,-22474734,0,0,3468698,3469927,0,0,0,0
-22475788,-22477359,0,0,3467124,3468693,0,0,0,0
-1410167,-1411102,19990806,19991741,0,0,0,0,0,0
-1411107,-1414354,19987470,19990707,0,0,0,0,0,0
-22477364,-22479587,0,0,3464831,3467055,0,0,0,0
-12586356,-12586396,8833607,8833647,0,0,-1329682,-1329722,0,0
-22479699,-22482063,0,0,3462461,3464825,0,0,0,0
-1414819,-1415579,19986244,19987004,0,0,0,0,0,0
-1418150,-1418257,19986134,19986241,0,0,0,0,0,0
-1418616,-1419189,19985557,19986129,0,0,0,0,0,0
-1419194,-1419235,19982854,19982895,0,0,0,0,0,0
-1421997,-1422084,19982762,19982849,0,0,0,0,0,0
-1424053,-1437328,19969467,19982757,0,0,0,0,0,0
-1437367,-1437523,19969306,19969462,0,0,0,0,0,0
-1437610,-1437651,19969260,19969301,0,0,0,0,0,0
-1437694,-1437751,19969198,19969255,0,0,0,0,0,0
-1437824,-1437899,19969118,19969193,0,0,0,0,0,0
-1437990,-1438441,19968662,19969113,0,0,0,0,0,0
-1439286,-1441403,19966540,19968657,0,0,0,0,0,0
-1441408,-1446966,19960960,19966507,0,0,0,0,0,0
-1446995,-1448302,19959628,19960955,0,0,0,0,0,0
-1448336,-1448399,19959561,19959624,0,0,0,0,0,0
-1448404,-1448881,19959041,19959526,0,0,0,0,0,0
-1448886,-1450030,19957820,19958964,0,0,0,0,0,0
-1450035,-1450434,19957046,19957445,0,0,0,0,0,0
-1450486,-1450565,19955963,19956042,0,0,0,0,0,0
-1450569,-1450686,19955758,19955875,0,0,0,0,0,0
-1450690,-1450832,19955255,19955397,0,0,0,0,0,0
-1450837,-1451160,19954843,19955166,0,0,0,0,0,0
-1451164,-1453307,19952688,19954818,0,0,0,0,0,0
-1453312,-1454199,19951701,19952592,0,0,0,0,0,0
-1454804,-1457491,19949019,19951696,0,0,0,0,0,0
-1457495,-1459051,19947432,19948994,0,0,0,0,0,0
-1459055,-1459104,19947324,19947373,0,0,0,0,0,0
-1459108,-1459187,19947164,19947243,0,0,0,0,0,0
-1459192,-1459359,19946948,19947123,0,0,0,0,0,0
-1459364,-1459399,19946832,19946867,0,0,0,0,0,0
-1459403,-1459619,19946532,19946740,0,0,0,0,0,0
-1459667,-1459911,19946284,19946528,0,0,0,0,0,0
-1460176,-1463696,19942788,19946280,0,0,0,0,0,0
-1463778,-1463899,19942662,19942783,0,0,0,0,0,0
-1464162,-1464266,19942546,19942650,0,0,0,0,0,0
-1465103,-1465481,19942163,19942541,0,0,0,0,0,0
-1465513,-1465571,19942100,19942158,0,0,0,0,0,0
-1465765,-1466691,19941169,19942095,0,0,0,0,0,0
-1466723,-1467147,19940731,19941157,0,0,0,0,0,0
-1467193,-1467945,19939971,19940728,0,0,0,0,0,0
-1467981,-1474934,19933009,19939965,0,0,0,0,0,0
-1474963,-1475576,19932391,19933004,0,0,0,0,0,0
